,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16
1915,1.54885954,1.544324521,1.363756066,1.4834857,1.611150683,1.400129726,1.487750089,0.956941371,1.974324814,1.435169063,1.678536855,1.368262146,1.067695093,1.389531444,1.337892073
1916,1.424438314,1.573028325,1.598269505,1.4716729,1.474906616,1.67883121,1.788404995,1.202860665,2.09989233,1.723591651,1.726780809,1.653276411,1.418665676,1.595785934,1.830143843
1917,0.945203776,0.880782622,1.222594003,0.874961006,0.949110904,1.016252968,1.070806418,0.724668731,1.201630185,1.064217766,0.99109569,1.105505539,0.867628427,1.199468289,1.174694054
1918,0.640563615,0.460959946,0.671350721,0.569011707,0.45461587,0.538668055,0.563917548,0.26739583,0.429144897,0.68051686,0.294616075,0.365856287,0.447254104,0.400994813,0.365590612
1919,1.114112404,0.855986918,0.826639249,0.923159404,0.912776849,1.033188866,0.829071753,0.971347889,1.195830711,1.278994449,1.021333567,0.878191702,1.153752587,1.025893929,1.037985957
1920,0.818502963,0.771686399,0.711919031,0.629017914,0.73714579,0.634904052,0.590993838,0.704144783,0.385488846,1.060024266,0.762626758,0.688974384,0.636696764,0.66834389,0.743013075
1921,1.158133129,0.947765693,0.736419048,0.959236969,0.815609913,0.872141809,0.780878244,1.079496284,0.842286337,0.941480902,0.740825433,0.743610414,0.918700545,0.756480937,1.052897627
1922,0.794320899,0.679019136,0.603170385,0.706189136,0.534312326,0.804161786,0.476948506,0.750219999,0.683454139,0.703662082,0.684982982,0.803035743,0.837447621,0.78069044,0.90499009
1923,0.892023939,0.700842566,0.694893267,1.150106911,0.710415989,0.767675157,0.570814205,0.772832386,0.514576882,0.897023234,0.756480426,0.892473158,0.753828279,0.812544541,0.675117413
1924,0.876129583,0.695745536,0.78572847,1.04642825,0.597744403,1.029893271,0.740418077,0.550488639,0.468587305,0.667122956,0.919012087,0.678011523,0.941357439,0.838955558,0.613612965
1925,0.779376825,0.683942137,0.706252595,0.959247802,1.012829405,1.013131881,0.786366963,0.526961709,0.801514626,0.975066497,1.01087141,0.778805875,0.690248476,0.467624826,0.85454625
1926,0.713650634,0.555304877,0.604873561,0.713117969,0.73225674,0.686328511,0.44035215,0.640619377,0.467161644,0.524897498,0.897073208,0.641149676,0.450287504,0.491218963,0.413479356
1927,0.810204761,0.688316989,0.620126647,0.862612962,0.698689033,1.044189891,0.768489844,0.898437605,1.13497037,0.716502363,1.170955101,0.72616608,0.790101454,0.772754131,0.726898112
1928,0.901752465,0.980762893,0.912454259,1.109200785,0.976553961,1.507466088,1.291165648,1.117178398,0.639218461,1.164443948,1.259770512,0.859731333,1.164485172,0.96070625,1.261433849
1929,0.657088999,0.748773968,0.791256483,0.601129374,0.502086694,0.907578292,0.817507296,0.69779352,0.638774138,0.564346946,0.659578891,0.571482244,0.653724636,0.595455228,0.701524874
1930,0.445182434,0.499764705,0.341312246,0.335654715,0.186434862,0.351187465,0.330355761,0.514679462,0.049062197,0.129341745,0.190836489,0.260430145,0.464794554,0.291804903,0.381239461
1931,0.637695923,0.534021591,0.771696286,0.680655581,0.613609074,0.895952071,0.468568311,0.732597275,0.475682121,0.657782885,0.751246369,0.516197382,0.351623846,0.427826163,0.562763574
1932,0.777993644,0.792411315,0.701091574,0.606874314,0.562973492,0.894754309,0.659671736,0.987260729,0.87053228,0.604862329,0.778449238,0.560120471,0.496655734,0.53020475,0.719530397
1933,0.648158266,0.605865269,0.664213205,0.690017218,0.512384667,0.596075856,0.44606158,1.045369509,0.656650605,0.61120997,0.700146316,0.83601939,0.641038264,0.767328318,1.136869429
1934,0.79041732,0.78170914,0.556286236,0.806716868,0.617054755,0.727828584,0.446574613,0.923226477,0.364516265,0.586414092,1.04361065,0.711172583,0.490379233,0.981557112,1.094903067
1935,0.705287038,0.983523211,0.678224995,0.869597388,0.563273573,0.802303146,0.448421677,1.19881116,0.384963684,0.680275075,0.524927244,0.939405181,0.675748952,1.187646387,1.120417549
1936,0.782368112,0.654682751,0.724833143,0.915735242,1.137938919,0.740518444,0.881095781,1.196971449,0.981490539,1.206790111,0.621254891,0.885922568,0.599762213,0.672911688,1.025965714
1937,0.695433832,0.837125401,0.539438295,0.951169373,1.037980719,0.829435272,0.563709358,0.978809486,0.457115224,0.686739691,0.743099013,0.585183956,0.637996441,0.925946115,1.166508667
1938,0.789566366,0.882275574,0.588265679,0.7568495,0.747404417,0.544046919,0.504279639,1.246694503,0.371393643,0.71256992,0.465555786,1.119166941,0.773805428,1.097622701,0.783775965
1939,0.657409475,0.673472227,0.51489207,0.709037366,0.680323391,0.620579019,0.381547205,0.723783845,0.484470084,0.57703456,0.459127437,0.635503879,0.531896641,0.774730689,0.582731326
1940,1.115424563,1.185964841,0.739579905,0.85078633,0.854054597,0.818062218,0.522587716,1.231159077,0.81219205,0.651380546,0.911599839,0.856758196,0.742000023,1.28098545,0.814260321
1941,0.86058034,0.835138994,0.69431106,0.93254756,1.16912553,0.918276248,0.591024021,1.425869402,0.591843874,0.60180206,0.504118934,0.896837032,0.677835001,1.195125342,0.586202323
1942,1.127296719,1.71320034,1.253645746,1.329107459,1.666364361,1.31240018,1.180742309,1.591798006,1.29902252,1.038669688,0.988165457,1.587414332,1.083175525,1.319724187,0.930951584
1943,0.887997618,0.767428187,1.087468993,0.742855439,1.202104441,0.939197523,0.864776409,1.145322884,0.644353868,1.006326683,0.965643263,1.391718056,1.043701394,1.051039171,0.933252925
1944,1.243471945,1.188246125,1.251241139,1.026153737,1.459622721,1.203689638,0.914738491,1.688227633,1.272062492,0.9343556,0.550557594,1.307941882,1.022683,1.299325979,0.790551163
1945,1.100032685,1.35301605,1.288790074,0.901756519,1.179204563,1.255860553,0.888476565,1.610550287,1.313401662,0.849486789,0.702707301,1.399624141,1.113914283,1.078281359,0.768053348
1946,0.883571977,1.032635173,0.815803752,0.89839097,0.854370883,0.653351355,0.505125128,1.238880664,0.913910495,0.817756042,1.192432032,1.205003511,0.914464661,0.98686629,1.178971126
1947,0.855937017,0.99730749,0.869268843,1.00057638,0.951823709,1.046890561,0.706638115,1.009219176,0.669311718,0.765429246,0.976337088,0.907596573,1.737341151,1.054465583,0.827598251
1948,0.907819358,1.922179914,1.355894071,1.863492932,1.346676422,1.829128323,1.244094379,1.327283032,1.569461901,1.286553684,0.886927413,1.524632361,1.867127316,1.1663862,2.294467233
1949,0.829276598,0.998979167,1.483137426,0.9752256,0.839859879,0.738823316,0.848379562,0.805796848,0.554373362,0.856276792,0.877520563,1.008330964,1.5334265,0.977586876,1.217029424
1950,1.084412956,1.137506385,1.117648809,0.654933485,0.836135498,0.470409137,0.465452192,1.004505015,0.988444147,1.054224964,1.648042268,1.422241143,1.490144594,1.02119299,1.717931206
1951,0.860482572,0.826151906,0.944844072,0.903781637,0.846230837,0.590874278,0.367997932,1.47164846,0.832295509,0.894650519,0.947855965,1.096157475,0.698021787,0.90911593,1.236107739
1952,1.337392746,1.680821058,1.139527527,1.45032939,1.231090474,0.9933872,0.909785443,1.790535568,1.131059919,1.438530739,1.39123978,1.553720653,1.726958691,1.361020058,1.82772717
1953,1.205564272,1.486861157,1.25706201,1.241871383,1.031217331,1.145563374,1.038428896,1.609280288,1.313192772,1.257909243,1.455021212,1.381959107,1.621401258,1.297073953,1.727698963
1954,1.085520745,0.861916242,1.066395518,1.068788746,1.023669946,0.739163709,0.725747919,1.265516239,0.994337159,1.067791898,0.794477724,0.951004966,0.840925157,0.889055426,0.8558202
1955,1.291160785,1.309675251,1.316172666,1.230853688,1.202604676,1.260009888,1.229332413,1.717163529,1.47614684,1.617856685,1.18561487,1.12506711,1.253060827,1.22308472,1.013610649
1956,1.058709567,1.087000055,1.302997314,1.359295243,1.099792276,1.210433746,1.141199837,1.492118909,1.318925834,1.363480869,1.030243919,1.23145845,1.023323046,1.20381603,0.962560952
1957,1.16080388,1.593782113,1.6399119,1.791096614,1.618889129,1.612319541,1.536475829,1.553168327,1.961536779,1.631162045,1.135587219,1.469627991,1.611833801,1.478025181,1.143125177
1958,1.359764735,1.316257015,1.8294213,1.525797036,1.551640427,1.325944818,1.667111815,1.077990011,1.509643868,1.384903611,0.943876133,1.540609913,1.163730964,1.5708407,1.080257543
1959,1.251828902,1.10271142,1.204689243,1.042943368,1.055295444,0.80412258,0.812991403,1.153827253,1.086398365,0.855411826,1.219088873,1.257421716,1.396018418,1.47015768,1.014084007
1960,1.32639325,0.927149831,1.066102298,1.178500761,1.200840031,1.175806215,0.944071542,1.111178786,1.436166613,1.045345773,1.586685231,1.171618078,1.237938077,1.390855388,1.127881284
