,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18
1939,0.812384045,0.730627156,0.721414965,0.481744271,0.521285325,0.506391581,0.656640679,0.176009036,0.468512865,0.316115819,0.34977116,0.601735397,0.952298618,0.761267726,0.786422743,0.687359795,0.797719496,0.795636406
1940,0.852615674,0.825187503,0.933182064,0.753037871,0.897855425,0.774904545,0.879270361,0.63420221,0.741607053,0.638778041,0.50225988,0.936154288,0.812713418,1.085188508,0.831072112,0.777501051,1.058966999,0.819459716
1941,0.759322594,0.638213857,1.125942669,0.570042312,0.912137979,0.778451688,1.015578783,0.495422977,0.716852296,0.610177003,0.54126489,1.008641417,1.530177433,1.088441199,1.566753189,0.727449523,1.68787783,1.437555833
1942,1.43105832,1.06274714,1.344428834,1.095890793,1.314001322,1.291741238,1.218150091,0.807118483,0.980144179,1.048794325,0.883217406,1.562386916,1.781272752,1.613104516,1.89378097,1.535650789,1.921180851,1.874061939
1943,1.216854643,1.169551644,1.026753675,0.9765809,1.040067998,1.022081244,1.026995694,0.843316995,0.864077172,0.926465794,0.755685003,0.904956252,1.252084165,1.394919328,1.064219721,1.142365289,1.29654925,0.958275906
1944,1.478020134,1.351905045,1.073297388,1.214257103,1.111482972,1.10408485,1.032778995,0.88190396,1.074750855,0.974142255,0.834771735,1.091817147,1.116332668,1.106796301,0.954643294,1.223172912,1.145906589,1.03263713
1945,1.221494235,1.123910098,0.791099498,1.155498809,0.935581385,0.941286622,0.860749419,0.776571779,0.978230559,0.95203003,0.555799362,0.981050186,0.968937913,0.926559495,0.942181142,0.899530231,1.013989983,1.145585411
1946,0.800390369,0.758031669,0.794222333,0.732703676,0.819684982,0.759120584,0.739951975,0.724258909,0.798116525,0.67018666,0.474061839,0.680820558,0.76153759,0.697074946,0.819089145,0.700228711,0.666453126,0.831334246
1947,0.687311261,0.399812458,0.684147516,0.610943746,0.660446787,0.598353358,0.586700181,0.637574962,0.647991568,0.77120834,0.399207125,0.551413149,0.792176044,0.65512973,0.67723899,0.70173367,0.553927452,0.700839661
1948,0.967044227,0.692247888,1.174993917,1.245483977,1.165705707,0.947003309,0.909635763,0.924428405,1.037150378,1.122345763,0.592750268,0.832192967,1.561608093,1.164880635,1.357008124,1.077965868,1.507885896,1.532522295
1949,1.182874744,0.950579169,1.301515904,1.257295044,1.33518926,0.991477504,0.996241682,1.095271525,1.015702388,1.373500193,0.757867422,0.808198986,1.077100914,1.031270224,1.042049352,1.293597093,1.340436639,1.170172954
1950,1.289042423,1.185421348,1.451451138,1.206558081,1.595062988,1.165357004,0.992763373,1.572049002,1.346183798,1.234315775,1.077757019,0.808381854,0.991360288,1.088677908,1.185179857,1.289319656,1.675286309,1.24597398
1951,1.052516452,1.093200226,1.436491118,0.92704696,1.31199551,1.11189057,0.851553063,1.031515147,1.028521193,0.98135298,0.917099812,0.598160811,0.80330825,0.935887538,0.951403432,1.102896186,1.091040997,1.061201531
1952,1.270530964,1.415057679,1.611490077,1.21822219,1.599633111,1.393309124,1.145981468,1.677715335,1.317874421,1.549481964,1.109651562,0.796832256,1.066722537,1.086706701,1.124992217,1.484207414,1.509299031,1.164648666
1953,1.003739196,1.05602077,1.402496086,1.088793655,1.570312816,1.240464373,1.238132912,1.604307891,1.278828363,1.023860465,0.805222088,0.910522736,1.097570778,1.495803386,1.154590509,1.373265006,1.549437167,1.010135729
1954,0.909148314,0.980415031,0.918658102,1.089273559,0.977882997,0.914654145,0.839911675,0.991931335,1.069099197,0.906901523,0.700020995,0.638383153,0.899626548,0.886542248,1.051355376,1.069477645,1.148261713,0.79979212
1955,1.24070499,1.157292752,1.404356614,1.360081529,1.354166559,1.045893107,1.027838634,1.303068739,1.29483225,0.990927635,0.784485522,0.823361579,1.226555764,1.142544545,1.301443654,1.714433947,1.267970508,1.053716035
1956,1.185044484,1.255304288,1.450345468,1.410426444,1.28530268,1.06814971,0.970182049,1.331138218,1.224114238,0.699621903,0.736231828,0.83566801,1.153473401,0.943518531,1.004088194,1.480927284,1.027993992,0.970365163
1957,1.420028347,1.807876,1.492401809,1.905579448,1.533528603,1.179512157,1.471528946,1.498873533,1.612840308,1.578230193,1.030788127,1.125962428,1.251645021,1.159883739,1.251952865,1.932968194,1.478164909,1.128383099
1958,1.168405687,1.361600522,1.51004341,1.713704975,1.24269619,1.272241192,1.503383508,2.012463665,1.566368379,1.300556596,1.00886934,0.963398732,1.245779947,1.378248496,1.216228759,1.858617316,1.256154473,1.130431129
1959,1.013495556,1.188554318,1.071099276,1.230635072,0.984613676,1.138881747,1.190807085,1.539356279,1.307546796,1.553366673,0.834302053,0.814130264,0.860549771,1.219022541,1.045473303,1.208072362,1.199587673,1.063812304
